

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
154.929  000.508  000.093: require('nvim-treesitter.configs')
154.933  000.595  000.086: require('nvim-treesitter.info')
155.058  000.123  000.123: require('nvim-treesitter.shell_command_selectors')
155.107  001.729  000.176: require('nvim-treesitter.install')
155.177  000.067  000.067: require('nvim-treesitter.statusline')
155.320  000.137  000.137: require('nvim-treesitter.query_predicates')
155.325  002.672  000.738: require('nvim-treesitter')
155.811  003.221  000.549: sourcing /home/takuyamuk/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
155.867  003.606  000.385: require('nvim-treesitter.configs')
157.558  000.098  000.098: require('nvim-treesitter.highlight')
157.569  005.398  001.694: require('plugins/nvim-treesitter')
157.626  000.055  000.055: require('plugins/lps')
158.563  000.048  000.048: sourcing /home/takuyamuk/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
159.332  000.253  000.253: sourcing /home/takuyamuk/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
160.047  000.618  000.618: require('telescope._extensions')
160.053  002.367  001.449: require('telescope')
160.701  000.148  000.148: require('plenary.bit')
160.841  000.135  000.135: require('plenary.functional')
160.880  000.523  000.240: require('plenary.path')
160.898  000.676  000.153: require('plenary.strings')
160.992  000.092  000.092: require('telescope.deprecated')
161.410  000.174  000.174: require('plenary.log')
161.464  000.336  000.161: require('telescope.log')
162.188  000.388  000.388: require('plenary.job')
162.372  000.173  000.173: require('telescope.state')
162.389  000.922  000.360: require('telescope.utils')
162.412  001.417  000.160: require('telescope.sorters')
165.756  005.700  003.514: require('telescope.config')
167.710  000.233  000.233: require('fzf_lib')
167.781  000.544  000.311: require('telescope._extensions.fzf')
168.162  000.322  000.322: require('telescope.themes')
168.399  000.232  000.232: require('telescope.builtin')
168.492  010.863  001.697: require('plugins/telescope')
168.667  000.172  000.172: require('plugins/hlslens')
173.105  000.728  000.728: require('nvim-tree.notify')
173.132  000.961  000.233: require('nvim-tree.events')
173.831  000.137  000.137: require('nvim-tree.log')
174.011  000.079  000.079: require('nvim-tree.iterators.node-iterator')
174.063  000.224  000.145: require('nvim-tree.utils')
174.132  000.067  000.067: require('nvim-tree.git.utils')
174.207  000.072  000.072: require('nvim-tree.git.runner')
174.276  000.066  000.066: require('nvim-tree.watcher')
174.340  000.061  000.061: require('nvim-tree.explorer.node')
174.347  000.834  000.207: require('nvim-tree.git')
174.536  000.187  000.187: require('nvim-tree.explorer.watch')
174.663  000.055  000.055: require('nvim-tree.explorer.node-builders')
174.775  000.109  000.109: require('nvim-tree.explorer.sorters')
174.922  000.057  000.057: require('nvim-tree.marks')
174.926  000.147  000.090: require('nvim-tree.explorer.filters')
175.096  000.104  000.104: require('nvim-tree.view')
175.102  000.173  000.069: require('nvim-tree.live-filter')
175.105  000.565  000.081: require('nvim-tree.explorer.explore')
175.167  000.061  000.061: require('nvim-tree.explorer.reload')
175.172  002.037  000.390: require('nvim-tree.explorer')
175.203  003.611  000.614: require('nvim-tree.core')
175.307  000.046  000.046: require('nvim-tree.modified')
175.311  000.105  000.059: require('nvim-tree.renderer.components.modified')
175.386  000.074  000.074: require('nvim-tree.renderer.components.padding')
175.461  000.072  000.072: require('nvim-tree.renderer.components.icons')
175.595  000.132  000.132: require('nvim-tree.renderer.components.full-name')
175.696  000.097  000.097: require('nvim-tree.renderer.components.git')
175.903  000.049  000.049: require('nvim-tree.enum')
175.908  000.210  000.161: require('nvim-tree.renderer.components.diagnostics')
176.045  000.054  000.054: require('nvim-tree.renderer.components.bookmarks')
176.055  000.145  000.091: require('nvim-tree.renderer.builder')
176.063  004.765  000.320: require('nvim-tree.renderer')
176.070  006.144  001.379: require('nvim-tree.lib')
176.147  000.075  000.075: require('nvim-tree.colors')
176.388  000.053  000.053: require('nvim-tree.actions.finders.find-file')
176.391  000.104  000.051: require('nvim-tree.actions.tree.open')
176.442  000.048  000.048: require('nvim-tree.actions.tree.toggle')
176.500  000.054  000.054: require('nvim-tree.actions.reloaders.reloaders')
176.550  000.046  000.046: require('nvim-tree.actions.root.dir-up')
176.603  000.049  000.049: require('nvim-tree.actions.tree.find-file')
176.657  000.051  000.051: require('nvim-tree.actions.finders.search-node')
176.711  000.051  000.051: require('nvim-tree.actions.tree-modifiers.collapse-all')
176.857  000.118  000.118: require('nvim-tree.actions.tree-modifiers.expand-all')
176.954  000.094  000.094: require('nvim-tree.actions.tree-modifiers.toggles')
177.089  000.067  000.067: require('nvim-tree.keymap')
177.094  000.135  000.068: require('nvim-tree.help')
177.152  000.055  000.055: require('nvim-tree.actions.fs.create-file')
177.213  000.058  000.058: require('nvim-tree.actions.fs.remove-file')
177.271  000.056  000.056: require('nvim-tree.actions.fs.trash')
177.327  000.053  000.053: require('nvim-tree.actions.fs.rename-file')
177.401  000.069  000.069: require('nvim-tree.actions.fs.copy-paste')
177.464  000.054  000.054: require('nvim-tree.actions.node.file-popup')
177.516  000.049  000.049: require('nvim-tree.actions.node.run-command')
177.570  000.051  000.051: require('nvim-tree.actions.node.system-open')
177.619  000.047  000.047: require('nvim-tree.actions.moves.sibling')
177.670  000.047  000.047: require('nvim-tree.actions.moves.parent')
177.745  000.071  000.071: require('nvim-tree.actions.moves.item')
177.880  000.098  000.098: require('nvim-tree.marks.bulk-delete')
178.037  000.150  000.150: require('nvim-tree.marks.bulk-trash')
178.117  000.074  000.074: require('nvim-tree.marks.bulk-move')
178.247  000.073  000.073: require('nvim-tree.actions.node.open-file')
178.251  000.130  000.057: require('nvim-tree.marks.navigation')
178.256  002.047  000.231: require('nvim-tree.api')
178.264  002.114  000.067: require('nvim-tree.commands')
178.353  000.086  000.086: require('nvim-tree.actions.root.change-dir')
178.407  000.052  000.052: require('nvim-tree.legacy')
178.460  009.604  001.133: require('nvim-tree')
178.544  000.081  000.081: require('plugins.nvim-tree-actions')
178.804  000.099  000.099: require('nvim-tree.actions')
179.107  000.071  000.071: require('nvim-tree.diagnostics')
179.554  000.230  000.230: require('nvim-web-devicons.icons-default')
179.608  000.415  000.185: require('nvim-web-devicons')
182.038  013.368  003.099: require('plugins/nvim-tree')
185.002  000.083  000.083: require('telescope.actions.state')
185.014  000.231  000.148: require('telescope._extensions.file_browser.utils')
185.511  000.086  000.086: require('plenary.window.border')
185.632  000.117  000.117: require('plenary.window')
185.703  000.068  000.068: require('plenary.popup.utils')
185.756  000.460  000.189: require('plenary.popup')
185.930  000.167  000.167: require('telescope.pickers.scroller')
186.083  000.149  000.149: require('telescope.actions.utils')
186.527  000.250  000.250: require('telescope.actions.mt')
186.598  000.511  000.261: require('telescope.actions.set')
187.030  000.162  000.162: require('telescope.config.resolve')
187.035  000.433  000.271: require('telescope.pickers.entry_display')
187.139  000.101  000.101: require('telescope.from_entry')
187.467  002.450  000.630: require('telescope.actions')
188.056  000.585  000.585: require('plenary.scandir')
188.652  000.082  000.082: require('plenary.tbl')
188.661  000.166  000.084: require('plenary.vararg.rotate')
188.664  000.320  000.153: require('plenary.vararg')
188.768  000.103  000.103: require('plenary.errors')
188.774  000.526  000.103: require('plenary.async.async')
189.145  000.104  000.104: require('plenary.async.structs')
189.157  000.206  000.102: require('plenary.async.control')
189.170  000.306  000.100: require('plenary.async.util')
189.175  000.398  000.092: require('plenary.async.tests')
189.177  001.102  000.178: require('plenary.async')
189.348  005.362  000.994: require('telescope._extensions.file_browser.actions')
189.853  000.215  000.215: require('telescope._extensions.file_browser.git')
190.125  000.266  000.266: require('telescope._extensions.file_browser.fs_stat')
190.133  000.649  000.168: require('telescope._extensions.file_browser.make_entry')
190.465  000.093  000.093: require('plenary.class')
190.485  000.245  000.152: require('telescope._')
190.878  000.391  000.391: require('telescope.make_entry')
190.884  000.750  000.114: require('telescope.finders.async_oneshot_finder')
191.184  000.105  000.105: require('telescope.finders.async_static_finder')
191.300  000.113  000.113: require('telescope.finders.async_job_finder')
191.310  000.424  000.205: require('telescope.finders')
271.571  082.220  080.397: require('telescope._extensions.file_browser.finders')
272.537  000.367  000.367: require('telescope.debounce')
272.945  000.396  000.396: require('telescope.mappings')
273.142  000.190  000.190: require('telescope.pickers.highlights')
273.261  000.115  000.115: require('telescope.pickers.window')
273.589  000.174  000.174: require('telescope.algos.linked_list')
273.599  000.334  000.161: require('telescope.entry_manager')
273.699  000.098  000.098: require('telescope.pickers.multi')
273.720  001.900  000.400: require('telescope.pickers')
273.727  002.140  000.241: require('telescope._extensions.file_browser.picker')
273.839  000.110  000.110: require('telescope._extensions.file_browser.config')
273.843  090.343  000.511: require('telescope._extensions.file_browser')
274.024  091.978  001.635: require('plugins/telescope-file-browser')
276.086  000.126  000.126: require('cmp_nvim_lsp.source')
276.097  001.081  000.955: require('cmp_nvim_lsp')
276.121  001.178  000.097: sourcing /home/takuyamuk/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
276.380  000.129  000.129: require('mason-core.path')
277.456  000.716  000.716: require('mason-core.functional')
278.005  000.240  000.240: require('mason-core.functional.data')
278.029  000.530  000.290: require('mason-core.functional.function')
278.250  000.197  000.197: require('mason-core.functional.relation')
278.476  000.173  000.173: require('mason-core.functional.logic')
278.525  002.141  000.526: require('mason-core.platform')
278.730  000.203  000.203: require('mason.settings')
278.734  004.628  000.978: require('mason')
279.997  000.732  000.732: require('mason-core.functional.list')
280.249  000.233  000.233: require('mason-core.functional.string')
280.359  001.458  000.493: require('mason.api.command')
280.628  000.257  000.257: require('mason-registry.sources')
281.334  000.389  000.389: require('mason-core.log')
281.435  000.093  000.093: require('mason-lspconfig.settings')
281.441  000.726  000.244: require('mason-lspconfig')
281.583  000.140  000.140: require('mason-core.optional')
281.826  000.076  000.076: require('mason-core.functional.table')
281.859  000.273  000.197: require('mason-lspconfig.mappings.server')
281.993  000.057  000.057: require('mason-core.EventEmitter')
282.133  000.074  000.074: require('mason-core.async')
282.190  000.053  000.053: require('mason-core.async.uv')
282.236  000.240  000.113: require('mason-core.fs')
282.325  000.463  000.166: require('mason-registry')
282.491  000.161  000.161: require('mason-lspconfig.notify')
282.738  000.100  000.100: require('lspconfig.server_configurations.pylsp')
283.133  000.080  000.080: require('lspconfig.server_configurations.clangd')
283.513  000.273  000.273: require('lspconfig.server_configurations.fortls')
283.652  009.624  001.065: require('plugins/mason')
283.783  000.128  000.128: require('plugins/nvim-lspconfig')
284.167  000.109  000.109: sourcing /usr/share/nvim/runtime/syntax/synload.vim
284.268  000.416  000.307: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
284.585  278.327  008.648: sourcing /home/takuyamuk/.config/nvim/init.lua
284.599  001.007: sourcing vimrc file(s)
284.941  000.068  000.068: sourcing /usr/share/nvim/runtime/filetype.lua
285.002  000.335: inits 3
288.710  003.708: reading ShaDa
289.174  000.464: opening buffers
289.306  000.132: BufEnter autocommands
289.314  000.008: editing files in windows
289.798  000.139  000.139: require('dap.ui')
289.872  000.421  000.283: require('dap.repl')
290.018  000.090  000.090: require('mason-core.terminator')


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.014  000.014: --- NVIM STARTING ---
000.342  000.328: event init
000.482  000.141: early init
000.828  000.346: locale set
000.972  000.144: init first window
001.385  000.413: inits 1
001.399  000.014: window checked
001.402  000.004: parsing arguments
002.241  000.054  000.054: require('vim.shared')
002.350  000.052  000.052: require('vim.inspect')
002.414  000.048  000.048: require('vim._options')
002.416  000.169  000.069: require('vim._editor')
002.418  000.304  000.081: require('vim._init_packages')
002.423  000.717: init lua interpreter
003.245  000.822: expanding arguments
003.318  000.073: inits 2
003.777  000.459: init highlight
